year,Team Sweeper,Team Swept,Wins/Games,Runs For,Runs Against,Run Differential,Differential per Game
1993,ATL,COL,13,106,50,56,4.307692308
1998,NYY,KC,10,78,22,56,5.6
1996,CLE,DET,12,79,28,51,4.25
1994,WSH,SD,12,72,22,50,4.166666667
1990,OAK,NYY,12,62,12,50,4.166666667
2023,ATL,COL,7,64,20,44,6.285714286
2017,LAD,NYM,7,57,15,42,6
2018,HOU,CWS,7,56,16,40,5.714285714
2002,BAL,KC,7,55,16,39,5.571428571
1988,KC,BAL,12,72,34,38,3.166666667
2012,AZ,HOU,6,56,19,37,6.166666667
2018,BOS,LAA,6,49,12,37,6.166666667
2006,COL,WSH,8,78,41,37,4.625
1978,BAL,OAK,11,55,19,36,3.272727273
1998,CIN,MIA,9,81,45,36,4
1998,SF,MIA,9,65,29,36,4
2000,STL,SD,9,58,22,36,4
2003,NYY,MIN,7,49,13,36,5.142857143
2022,LAD,CIN,7,52,18,34,4.857142857
2011,SD,MIA,7,48,14,34,4.857142857
2018,OAK,TOR,7,51,18,33,4.714285714
2015,NYM,COL,7,56,24,32,4.571428571
2007,NYY,CLE,6,49,17,32,5.333333333
2004,LAA,KC,7,58,27,31,4.428571429
1970,BAL,KC,12,76,45,31,2.583333333
2008,CHC,ATL,6,49,18,31,5.166666667
2015,NYM,CIN,7,47,16,31,4.428571429
2011,MIA,PIT,6,41,10,31,5.166666667
2008,MIL,SF,6,49,18,31,5.166666667
1999,TEX,MIN,12,69,39,30,2.5
2007,MIN,BAL,7,48,18,30,4.285714286
2022,ATL,PIT,7,44,14,30,4.285714286
1998,MIL,MIA,9,60,30,30,3.333333333
2013,LAA,DET,6,46,17,29,4.833333333
2021,CWS,BAL,7,45,16,29,4.142857143
2002,AZ,CIN,6,42,14,28,4.666666667
2004,OAK,BAL,7,41,14,27,3.857142857
2015,PIT,NYM,6,37,10,27,4.5
2006,STL,LAD,7,35,8,27,3.857142857
2001,NYY,KC,6,46,19,27,4.5
2007,BAL,KC,7,37,11,26,3.714285714
2019,CLE,LAA,6,38,12,26,4.333333333
2019,MIN,BAL,6,45,19,26,4.333333333
2022,HOU,MIN,6,36,11,25,4.166666667
2006,SD,CHC,7,40,15,25,3.571428571
2008,SF,WSH,7,38,13,25,3.571428571
2015,MIN,BAL,7,43,18,25,3.571428571
2019,LAD,PIT,6,44,20,24,4
2022,LAD,CHC,7,44,20,24,3.428571429
2023,TOR,CWS,6,35,11,24,4
2014,LAA,MIN,7,54,31,23,3.285714286
2022,CHC,PHI,6,33,10,23,3.833333333
2021,LAD,WSH,7,39,16,23,3.285714286
2019,TOR,OAK,6,36,13,23,3.833333333
2021,TOR,ATL,6,43,20,23,3.833333333
2005,MIN,TB,6,38,15,23,3.833333333
2004,PHI,MIL,6,41,18,23,3.833333333
2003,ATL,COL,6,46,23,23,3.833333333
2007,MIA,CHC,6,40,17,23,3.833333333
1994,CLE,OAK,6,39,17,22,3.666666667
2003,WSH,MIL,6,36,14,22,3.666666667
2001,HOU,WSH,6,39,18,21,3.5
2004,WSH,AZ,6,33,12,21,3.5
2010,SD,PIT,6,35,14,21,3.5
2022,SD,CIN,6,40,19,21,3.5
2004,BAL,DET,6,37,17,20,3.333333333
2003,MIN,TB,6,42,22,20,3.333333333
2006,MIA,MIL,7,43,23,20,2.857142857
1994,NYY,CLE,9,60,40,20,2.222222222
2003,NYY,NYM,6,39,19,20,3.333333333
2022,HOU,DET,7,29,10,19,2.714285714
2017,LAD,CIN,6,42,23,19,3.166666667
2020,LAD,LAA,6,42,23,19,3.166666667
2012,LAA,BOS,6,47,29,18,3
1981,BAL,MIN,6,34,16,18,3
2017,CLE,LAA,6,39,21,18,3
2003,WSH,SF,7,32,14,18,2.571428571
2015,STL,AZ,7,35,17,18,2.571428571
2002,TOR,DET,6,31,13,18,3
2002,NYY,MIN,6,41,23,18,3
2015,MIL,PHI,7,41,23,18,2.571428571
2022,BAL,TEX,6,40,23,17,2.833333333
1995,CLE,OAK,7,34,17,17,2.428571429
2009,COL,MIL,6,38,21,17,2.833333333
2004,HOU,PHI,6,45,28,17,2.833333333
2006,LAD,CIN,6,37,20,17,2.833333333
2021,LAD,PIT,6,28,11,17,2.833333333
2005,PHI,SD,6,31,14,17,2.833333333
2011,MIL,MIA,7,41,24,17,2.428571429
2015,CHC,NYM,7,27,11,16,2.285714286
2009,COL,CIN,7,33,17,16,2.285714286
1981,KC,LAA,6,29,13,16,2.666666667
2016,NYM,CIN,6,30,14,16,2.666666667
2018,OAK,DET,7,30,14,16,2.285714286
2002,SF,NYM,6,24,8,16,2.666666667
2021,STL,MIA,6,22,6,16,2.666666667
2008,TOR,MIN,6,35,19,16,2.666666667
1994,ATL,LAD,6,32,16,16,2.666666667
2009,NYY,MIN,7,41,25,16,2.285714286
2010,BAL,LAA,6,29,15,14,2.333333333
2004,LAD,PIT,6,30,16,14,2.333333333
2019,TEX,DET,6,31,17,14,2.333333333
2009,COL,WSH,6,29,16,13,2.166666667
2005,MIA,TB,6,33,20,13,2.166666667
2005,HOU,PHI,6,26,14,12,2
2018,TB,KC,7,28,16,12,1.714285714
2013,STL,WSH,6,19,8,11,1.833333333
